2026-05-22 21:16:13,143 WARNING [__main__] Using in-memory storage. Reminders will be lost on restart.
2026-05-22 21:16:13,947 INFO [__main__] Starting Telegram reminder bot
2026-05-22 21:16:14,683 INFO [apscheduler.scheduler] Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-22 21:16:14,685 INFO [apscheduler.scheduler] Added job "ReminderScheduler.dispatch_due_reminders" to job store "default"
2026-05-22 21:16:14,685 INFO [apscheduler.scheduler] Scheduler started
2026-05-22 21:16:14,686 INFO [app.scheduler] Reminder scheduler started
2026-05-22 21:22:44,696 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:23:14 +07)" (scheduled at 2026-05-22 21:22:44.683797+07:00)
2026-05-22 21:22:44,697 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:23:14 +07)" executed successfully
2026-05-22 21:23:14,694 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:23:44 +07)" (scheduled at 2026-05-22 21:23:14.683797+07:00)
2026-05-22 21:23:14,696 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:23:44 +07)" executed successfully
2026-05-22 21:23:44,694 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:24:14 +07)" (scheduled at 2026-05-22 21:23:44.683797+07:00)
2026-05-22 21:23:44,696 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:24:14 +07)" executed successfully
2026-05-22 21:24:14,686 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:24:44 +07)" (scheduled at 2026-05-22 21:24:14.683797+07:00)
2026-05-22 21:24:14,686 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:24:44 +07)" executed successfully
2026-05-22 21:24:44,686 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:25:14 +07)" (scheduled at 2026-05-22 21:24:44.683797+07:00)
2026-05-22 21:24:44,689 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:25:14 +07)" executed successfully
2026-05-22 21:25:14,690 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:25:44 +07)" (scheduled at 2026-05-22 21:25:14.683797+07:00)
2026-05-22 21:25:14,692 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:25:44 +07)" executed successfully
2026-05-22 21:25:44,692 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:26:14 +07)" (scheduled at 2026-05-22 21:25:44.683797+07:00)
2026-05-22 21:25:44,695 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:26:14 +07)" executed successfully
2026-05-22 21:26:14,685 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:26:44 +07)" (scheduled at 2026-05-22 21:26:14.683797+07:00)
